word,grade,pos,frequency
ειναι,1,verb,669
αριθμούς,1,noun,217
ήταν,1,verb,210
παιδιά,1,noun,210
έχει,1,verb,199
κάθε,1,adj,196
διάβασε,1,verb,175
είπε,1,verb,162
γραψε,1,verb,151
λέξεις,1,noun,148
συμπλήρωσε,1,verb,138
τάξη,1,noun,137
μαθητές,1,noun,135
συζητάμε,1,verb,132
όλα,1,adj,129
πολύ,1,adj,129
λέει,1,verb,127
λείπουν,1,verb,126
βιβλίο,1,noun,125
γράφω,1,verb,123
ποσά,1,noun,121
κεφαλαίο,1,noun,120
αυτό,1,adj,117
σχολειο,1,noun,115
αριθμό,1,noun,109
βαλε,1,verb,105
σειρά,1,noun,99
ποια,1,adj,98
εικόνες,1,noun,96
υπολογίζω,1,verb,92
ζώα,1,noun,89
όλοι,1,adj,88
έχουν,1,verb,86
αθροισματα,1,noun,82
ιστορια,1,noun,80
σπίτι,1,noun,80
χρώματα,1,noun,79
οικογενεια,1,noun,78
παιδι,1,noun,78
παιχνίδια,1,noun,78
είχε,1,verb,76
μαθητή,1,noun,76
δημοτικού,1,noun,73
παιχνίδι,1,noun,71
γάτα,1,noun,69
σχηματα,1,noun,68
άλλο,1,adj,67
μέρα,1,noun,66
σωστά,1,adj,66
ποιος,1,adj,64
εικόνα,1,noun,62
θάλασσα,1,noun,62
άλλα,1,adj,61
κάνει,1,verb,61
κύκλο,1,noun,61
λέξη,1,noun,61
μάθεις,1,verb,61
φορά,1,noun,60
παπαγάλος,1,noun,59
δασκάλα,1,noun,58
γράμματα,1,noun,57
παίζουμε,1,verb,57
πληρώνω,1,verb,57
νομισματα,1,noun,56
μαμά,1,noun,55
μάθε,1,verb,54
μαθηματικά,1,noun,54
μπορεί,1,verb,54
ρώτησε,1,verb,54
γράφεις,1,verb,53
κάνουμε,1,verb,53
πολλά,1,adj,53
μικρός,1,noun,50
αυτά,1,adj,49
ίδιο,1,adj,49
μικρό,1,noun,49
πάει,1,verb,49
τρόπο,1,noun,49
χρειάζεται,1,verb,49
βρίσκω,1,verb,48
ποιο,1,adj,48
πρέπει,1,verb,48
χρώμα,1,noun,48
ενότητα,1,noun,47
λένε,1,verb,47
αυτή,1,adj,46
όνομα,1,noun,46
καλά,1,noun,45
μπορείς,1,verb,45
δικό,1,adj,44
ΖΩΗ,1,noun,44
προτείνουμε,1,verb,44
ταξίδι,1,noun,44
χαρτι,1,noun,44
χελώνα,1,noun,44
έκανε,1,verb,43
νερό,1,noun,43
χέρια,1,noun,43
αριθμοι,1,noun,42
λουλούδια,1,noun,42
