word,grade,pos,frequency
είναι,3,verb,1618
ήταν,3,verb,917
αυτό,3,adj,575
κάθε,3,adj,509
παιδιά,3,noun,452
έχει,3,verb,402
λεξεις,3,noun,377
πολύ,3,adj,364
είχε,3,verb,349
τάξη,3,noun,343
αυτά,3,adj,304
ποια,3,adj,304
κεφαλαιο,3,noun,285
βιβλίο,3,noun,277
όλοι,3,adj,266
εχουν,3,verb,265
κείμενό,3,noun,265
όλα,3,adj,256
είπε,3,verb,253
μέρα,3,noun,240
ζωή,3,noun,238
άνθρωποί,3,noun,235
γράφω,3,verb,235
ενοτητα,3,noun,234
αυτή,3,adj,218
πολλά,3,adj,215
δημοτικου,3,noun,202
αγώνες,3,noun,200
σπιτι,3,noun,196
χρονιά,3,noun,194
εικονα,3,noun,193
μαθητές,3,noun,188
ζώα,3,noun,186
ποιο,3,adj,184
γράψε,3,verb,181
θάλασσά,3,noun,181
μόνο,3,adj,180
ιστορία,3,noun,175
ανθρώπους,3,noun,174
υπάρχουν,3,verb,174
μαθητή,3,noun,170
σχολειο,3,noun,170
άλλο,3,adj,168
έργα,3,noun,164
σχήματα,3,noun,163
ομάδα,3,noun,162
αλλα,3,adj,161
εικονες,3,noun,159
είχαν,3,verb,153
μεγάλη,3,adj,153
αριθμούς,3,noun,150
αυτές,3,adj,149
αυτός,3,adj,148
έργο,3,noun,147
τρόπο,3,noun,146
μπορείς,3,verb,145
γη,3,noun,144
κάνει,3,verb,144
φορά,3,noun,144
κοντά,3,adj,143
ποσά,3,noun,143
έκανε,3,verb,142
λίγο,3,adj,142
παιδί,3,noun,142
πολλές,3,adj,142
κάτι,3,adj,141
πίνακα,3,noun,139
μερος,3,noun,135
θεό,3,noun,132
λόγια,3,noun,131
πληροφοριες,3,noun,131
συμπλήρωσε,3,verb,130
θεός,3,noun,129
πήρε,3,verb,129
ωρα,3,noun,129
νερο,3,noun,128
κοσμου,3,noun,127
δραστηριότητές,3,noun,126
τελος,3,noun,125
γινει,3,verb,124
κόσμο,3,noun,123
λέει,3,verb,123
παιχνίδι,3,noun,123
έγινε,3,verb,122
συζητάμε,3,verb,122
μπορεί,3,verb,119
πρέπει,3,verb,119
ερωτησεις,3,noun,118
μπορούμε,3,verb,118
άλλη,3,adj,116
εποχη,3,noun,115
δικό,3,adj,114
κανω,3,verb,113
χέρια,3,noun,113
βρίσκω,3,verb,112
ποιός,3,adj,112
ίδιο,3,adj,111
κανείς,3,verb,111
όνομα,3,noun,111
αγαπη,3,noun,110
